# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
4.040,19.399869,19.399869,8.069740,-4.034870,100.00
4.050,19.359520,19.359520,8.060201,-4.030101,100.00
4.060,19.319219,19.319219,8.050671,-4.025335,100.00
4.070,19.278966,19.278966,8.041148,-4.020574,100.00
4.080,19.238760,19.238760,8.139812,-4.069906,100.00
4.090,19.198061,19.198061,8.130024,-4.065012,100.00
4.100,19.157411,19.157411,8.120245,-4.060122,100.00
4.110,19.116810,19.116810,8.110473,-4.055237,100.00
4.120,19.076257,19.076257,8.100711,-4.050355,100.00
4.130,19.035754,19.035754,8.090956,-4.045478,100.00
4.140,18.995299,18.995299,8.081210,-4.040605,100.00
4.150,18.954893,18.954893,8.071472,-4.035736,100.00
4.160,18.914535,18.914535,8.167778,-4.083889,100.00
4.170,18.873697,18.873697,8.157776,-4.078888,100.00
4.180,18.832908,18.832908,8.147782,-4.073891,100.00
4.190,18.792169,18.792169,8.137797,-4.068899,100.00
4.200,18.751480,18.751480,8.127821,-4.063910,100.00
4.210,18.710841,18.710841,8.117853,-4.058926,100.00
4.220,18.670251,18.670251,8.107894,-4.053947,100.00
4.230,18.629712,18.629712,8.097943,-4.048971,100.00
4.240,18.589222,18.589222,8.191938,-4.095969,100.00
4.250,18.548263,18.548263,8.181724,-4.090862,100.00
4.260,18.507354,18.507354,8.171519,-4.085759,100.00
4.270,18.466496,18.466496,8.161323,-4.080661,100.00
4.280,18.425690,18.425690,8.151136,-4.075568,100.00
4.290,18.384934,18.384934,8.140958,-4.070479,100.00
4.300,18.344229,18.344229,8.130789,-4.065394,100.00
4.310,18.303575,18.303575,8.120629,-4.060314,100.00
4.320,18.262972,18.262972,8.212356,-4.106178,100.00
4.330,18.221910,18.221910,8.201934,-4.100967,100.00
4.340,18.180901,18.180901,8.191521,-4.095760,100.00
4.350,18.139943,18.139943,8.181117,-4.090559,100.00
4.360,18.099038,18.099038,8.170723,-4.085361,100.00
4.370,18.058184,18.058184,8.160338,-4.080169,100.00
4.380,18.017382,18.017382,8.149962,-4.074981,100.00
4.390,17.976632,17.976632,8.139596,-4.069798,100.00
4.400,17.935934,17.935934,8.229100,-4.114550,100.00
4.410,17.894789,17.894789,8.218473,-4.109236,100.00
4.420,17.853697,17.853697,8.207855,-4.103927,100.00
4.430,17.812657,17.812657,8.197247,-4.098623,100.00
4.440,17.771671,17.771671,8.186648,-4.093324,100.00
4.450,17.730738,17.730738,8.176060,-4.088030,100.00
4.460,17.689858,17.689858,8.165481,-4.082740,100.00
4.470,17.649030,17.649030,8.154911,-4.077456,100.00
4.480,17.608256,17.608256,8.242235,-4.121118,100.00
4.490,17.567044,17.567044,8.231406,-4.115703,100.00
4.500,17.525887,17.525887,8.220587,-4.110294,100.00
4.510,17.484784,17.484784,8.209778,-4.104889,100.00
4.520,17.443736,17.443736,8.198979,-4.099490,100.00
4.530,17.402741,17.402741,8.188190,-4.094095,100.00
4.540,17.361800,17.361800,8.177411,-4.088706,100.00
4.550,17.320913,17.320913,8.166642,-4.083321,100.00
4.560,17.280079,17.280079,8.251829,-4.125915,100.00
4.570,17.238820,17.238820,8.240802,-4.120401,100.00
4.580,17.197616,17.197616,8.229785,-4.114892,100.00
4.590,17.156467,17.156467,8.218778,-4.109389,100.00
4.600,17.115373,17.115373,8.207782,-4.103891,100.00
4.610,17.074335,17.074335,8.196797,-4.098398,100.00
4.620,17.033351,17.033351,8.185821,-4.092911,100.00
4.630,16.992421,16.992421,8.174856,-4.087428,100.00
4.640,16.951547,16.951547,8.257947,-4.128974,100.00
4.650,16.910257,16.910257,8.246726,-4.123363,100.00
4.660,16.869024,16.869024,8.235515,-4.117757,100.00
4.670,16.827846,16.827846,8.224314,-4.112157,100.00
4.680,16.786725,16.786725,8.213125,-4.106562,100.00
4.690,16.745659,16.745659,8.201946,-4.100973,100.00
4.700,16.704649,16.704649,8.190778,-4.095389,100.00
